Model Name,Single Task,Tasks,Sampling Mode,final_loss_train,final_loss_dev,final_loss_test,final_acc_dev,final_acc_test,SemEval_final_acc_dev_2_class,SemEval_final_acc_dev_3_class,SemEval_final_acc_dev_4_class,SemEval_final_acc_test_2_class,SemEval_final_acc_test_3_class,SemEval_final_acc_test_4_class,Sentihood_strict__aspect_acc_dev,Sentihood_strict_aspect_acc_test,Sentihood_Sentiment_AUC,Sentihood_Aspect_AUC,Precision,Recall,F1_Score,Done?,UniqueID
bert-base-uncased,SST-2,"SST-2, SemEval_QA_B",prop,0.01563637409061332,0.2610979293073927,0.2610979293073927,0.9266055045871558,0.9266055045871558,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, SemEval_QA_B|prop"
bert-base-uncased,SemEval_QA_B,"SST-2, SemEval_QA_B",prop,0.00542435336113946,0.1587776484792447,0.1587776484792447,0.93125,0.93125,0.9590443686006824,0.8961973278520041,0.8624390243902439,0.9590443686006824,0.8961973278520041,0.8624390243902439,,,,,0.9380710659898476,0.9014634146341464,0.9194029850746268,Yes,"bert-base-uncased|SST-2, SemEval_QA_B|prop"
xlnet-base-cased,SST-2,"SST-2, SemEval_QA_B",sqrt,0.02727799093888651,0.25953628761427744,0.25953628761427744,0.93348623853211,0.93348623853211,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, SemEval_QA_B|sqrt"
xlnet-base-cased,SemEval_QA_B,"SST-2, SemEval_QA_B",sqrt,0.014336696623181974,0.1482419986055369,0.1482419986055369,0.93225,0.93225,0.949943117178612,0.8972250770811921,0.8624390243902439,0.949943117178612,0.8972250770811921,0.8624390243902439,,,,,0.9330628803245437,0.8975609756097561,0.9149676777722526,Yes,"xlnet-base-cased|SST-2, SemEval_QA_B|sqrt"
bert-base-uncased,SST-2,"SST-2, SemEval_QA_B",sqrt,0.015878088028603226,0.2889558012996401,0.2889558012996401,0.9231651376146788,0.9231651376146788,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, SemEval_QA_B|sqrt"
bert-base-uncased,SemEval_QA_B,"SST-2, SemEval_QA_B",sqrt,0.00705449505045445,0.14207922919374552,0.14207922919374552,0.9265,0.9265,0.9453924914675768,0.8900308324768756,0.8526829268292683,0.9453924914675768,0.8900308324768756,0.8526829268292683,,,,,0.9214145383104124,0.9151219512195122,0.9182574645129712,Yes,"bert-base-uncased|SST-2, SemEval_QA_B|sqrt"
xlnet-base-cased,SST-2,"SST-2, SemEval_QA_B",square,0.020758242614430784,0.21590936396803176,0.21590936396803176,0.9403669724770642,0.9403669724770642,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, SemEval_QA_B|square"
xlnet-base-cased,SemEval_QA_B,"SST-2, SemEval_QA_B",square,0.011228222581316996,0.19012686564100634,0.19012686564100634,0.9255,0.9255,0.9579067121729238,0.9013360739979444,0.864390243902439,0.9579067121729238,0.9013360739979444,0.864390243902439,,,,,0.924949290060852,0.8897560975609756,0.907011437095972,Yes,"xlnet-base-cased|SST-2, SemEval_QA_B|square"
bert-base-uncased,SST-2,"SST-2, SemEval_QA_B",square,0.014348701314705534,0.2244540240083422,0.2244540240083422,0.9300458715596329,0.9300458715596329,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, SemEval_QA_B|square"
bert-base-uncased,SemEval_QA_B,"SST-2, SemEval_QA_B",square,0.0039182661420487696,0.1706154962295702,0.1706154962295702,0.92775,0.92775,0.955631399317406,0.8920863309352518,0.8595121951219512,0.955631399317406,0.8920863309352518,0.8595121951219512,,,,,0.9290709290709291,0.9073170731707316,0.9180651530108588,Yes,"bert-base-uncased|SST-2, SemEval_QA_B|square"
